Id,judgingRuleId,judgingRuleName,criteriaName,criteriaDescription,subCriteriaName,subCriteriaDescription,subCriteriaValueType,subCriteriaRangeFrom,subCriteriaRangeTo,criteriaUiLayout,subCriteriaUiPosition
11111111-0000-0000-0000-000000000021,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,variation,variation,tempowechsel,tempowechsel,integer,0,4,3x2,3
11111111-0000-0000-0000-000000000022,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,presentation,presentation,imRichtigenRhythmus,imRichtigenRhythmus,integer,0,100,3x3,1
11111111-0000-0000-0000-000000000022,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,presentation,presentation,gebrauchDerMusikakzente,gebrauchDerMusikakzente,integer,0,20,3x3,4
11111111-0000-0000-0000-000000000022,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,presentation,presentation,ausführungDerSprünge,ausführungDerSprünge,integer,0,20,3x3,7
11111111-0000-0000-0000-000000000022,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,presentation,presentation,originellesUndSpektakuläres,originellesUndSpektakuläres,integer,0,10,3x3,2
11111111-0000-0000-0000-000000000022,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,presentation,presentation,bewegung,bewegung,integer,0,100,3x3,5
11111111-0000-0000-0000-000000000022,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,presentation,presentation,präsentationNachAussen,präsentationNachAussen,integer,0,100,3x3,3
11111111-0000-0000-0000-000000000022,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,presentation,presentation,gesamteindruck,gesamteindruck,integer,0,100,3x3,6
11111111-0000-0000-0000-000000000023,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,deduction,deduction,kleineFehler,kleineFehler,integer,0,50,3x3,1
11111111-0000-0000-0000-000000000023,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,deduction,deduction,grosseFehler,grosseFehler,integer,0,50,3x3,4
11111111-0000-0000-0000-000000000023,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,deduction,deduction,zeitüberschreitung,zeitüberschreitung,integer,0,1,3x3,3
11111111-0000-0000-0000-000000000023,11111111-0000-0000-0000-000000000008,teamFreestyleDoubleDutchSingleErso,deduction,deduction,überschreitungDerWettkampffläche,überschreitungDerWettkampffläche,integer,0,20,3x3,6
11111111-0000-0000-0000-000000000024,11111111-0000-0000-0000-000000000009,teamShow,difficulty,difficulty,level3SingleRope,level3SingleRope,integer,0,10,3x2,1
11111111-0000-0000-0000-000000000024,11111111-0000-0000-0000-000000000009,teamShow,difficulty,difficulty,level3Team,level3Team,integer,0,20,3x2,3
11111111-0000-0000-0000-000000000025,11111111-0000-0000-0000-000000000009,teamShow,presentationMusic,presentationMusic,imRichtigenRhythmus,imRichtigenRhythmus,integer,0,100,3x2,1
11111111-0000-0000-0000-000000000025,11111111-0000-0000-0000-000000000009,teamShow,presentationMusic,presentationMusic,gebrauchDerMusikakzente,gebrauchDerMusikakzente,integer,0,20,3x2,3
11111111-0000-0000-0000-000000000026,11111111-0000-0000-0000-000000000009,teamShow,presentationCreativity,presentationCreativity,formationswechsel,formationswechsel,integer,0,10,3x3,1
11111111-0000-0000-0000-000000000026,11111111-0000-0000-0000-000000000009,teamShow,presentationCreativity,presentationCreativity,originellesUndSpektakuläres,originellesUndSpektakuläres,integer,0,15,3x3,4
11111111-0000-0000-0000-000000000026,11111111-0000-0000-0000-000000000009,teamShow,presentationCreativity,presentationCreativity,fliessendeWechsel,fliessendeWechsel,integer,0,5,3x3,3
11111111-0000-0000-0000-000000000026,11111111-0000-0000-0000-000000000009,teamShow,presentationCreativity,presentationCreativity,publikumsinteraktion,publikumsinteraktion,integer,0,100,3x3,6
11111111-0000-0000-0000-000000000027,11111111-0000-0000-0000-000000000009,teamShow,deduction,deduction,ausführungDerSprünge,ausführungDerSprünge,integer,0,50,3x3,1
11111111-0000-0000-0000-000000000027,11111111-0000-0000-0000-000000000009,teamShow,deduction,deduction,kleineFehler,kleineFehler,integer,0,50,3x3,2
11111111-0000-0000-0000-000000000027,11111111-0000-0000-0000-000000000009,teamShow,deduction,deduction,grosseFehler,grosseFehler,integer,0,50,3x3,3
11111111-0000-0000-0000-000000000027,11111111-0000-0000-0000-000000000009,teamShow,deduction,deduction,zeitüberschreitung,zeitüberschreitung,integer,0,1,3x3,4
11111111-0000-0000-0000-000000000027,11111111-0000-0000-0000-000000000009,teamShow,deduction,deduction,überschreitungDerWettkampffläche,überschreitungDerWettkampffläche,integer,0,20,3x3,6
